"positive","Congrats"
"positive","the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal ."
"positive","the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth ."
"positive","effective but too-tepid biopic"
"positive","if you sometimes like to go to the movies to have fun , wasabi is a good place to start ."
"positive","emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one ."
"positive","the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game ."
"positive","offers that rare combination of entertainment and education ."
"positive","perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions ."
"positive","steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off ."
"positive","@Msdebramaye I heard about that contest! Congrats girl!!"
"positive","take care of my cat offers a refreshingly different slice of asian cinema ."
"positive","Yay! I finally made sales at the gallery; Really helps when the artists are there "
"positive","@cottonandcloud Moooorning! Fancy a coffee? "
"positive","LaLaLand... why am i liking that song so much?! Anyhoo.... grr I have a cold, but thank goodness though the sore throat has gone!! "
"positive","I beat 3 bosses in Castelvania "
"positive","@tomfelton http://twitpic.com/4jam0 - Ohhh, how lovely! I'm glad that you had a great time there. "
"positive","i guess i'll do both since i cant really decide which one to choose "
"positive","@jamiewhincup Awesome effort this w/e,even if u didnt win.Good luck at Tassie "
"positive","@martincarstens I think your just trying to make me feel better! "
"positive","@isla_fisher Hey!! How are u??did u got my reply?? "
"positive","@rosehwang Good Evening Rose .... "
"positive","@Reema226 http://twitpic.com/4grnh - The joy of discovering Linux. "
"positive","http://twitpic.com/4jb0q - And a few more "
"positive","it's @andreamichellef's birthday today, wish her a good one assholes! Sleepytime "
"positive","Sneaking out. Going to work for a friend "
"positive","Just went through my piggy bank, man there was a hell of a lot of money in there! I can easily live out of just it for the next 2 weeks "
"positive","Aww @holloh  i used to do that when i was little, not so much now ;) haa. Lazy shiit. "
"positive","loggade visst min 400e cache i l�rdags! "
"positive","@MrFloydNL  thankyou very much, you rock! "
"positive","@rickiep00h  no, you didn't fail.  thanks  "
"positive","@DustBuny: being today and all, WE'RE GONNA USE THE FORCE to make it happen! "
"positive","i've just open this thing "
"positive","6789998212 haha love soulja boys new song "
"positive","@threalmiarose hey mia!  totally adore your music.  when will your cd be out? "
"positive","@bratinella, @carambs - muji  yipee. is anybody coming here? i can send them over hahaha. but can somebody bring JT's BSG disks? haha"
"positive","Down in Wellington for the Monet Exhibition. Casually just bumped into Wayne Brady in our hotel lobby!!  Mega exciting!!!"
"positive","@NikkiPilkington You seem nice, you're generous and you know your stuff "
"positive","@IDrive_Online When will the maintanance end? I would like to backup some stuff. "
"positive","Good morning ladies and Gents.  it's going to be an awesome day &quot;even though the weather is terrible&quot;"
"positive","@statkallday yessssssir!! "
"positive","Love johnny deep looks in public enemies (L) I'll catch this film when show in HK "
"positive","Listening to music, Texting . umm Msn lol.  bit bored . lol. Garth Brooks wooo i love him hehe . &lt;3"
"positive","@besz Well, good luck then. "
"positive","Off to see the Doc in a bit to get the knee checked out "
"positive","Thanks to all who follow me  ... wish ya'll the best ;)"
"positive","@nirajgoa Oh! Don't you just love these Vodafone series of Ads ... The best picturisation ever "
"positive","Happy Birthday husband "
"positive","@thebleachworks http://twitpic.com/4f0l0 - So beautiful!! This lake is like a mirror! "
"positive","@shawnieora I googled him &amp; looked @ a lot of sites... I should have checked here first.  How Exciting, for you both "
"positive","@fanboy_uk Yeah, but it's Myst! "
"positive","@Cadistra Ah brilliant! Thanks a bunch "
"positive","finally not talking about teachers but facilitators  #edumedia09"
"positive","@lynnftw I know exactly what you are saying.. its so not cool... that is why tapes were better  :p"
"positive","@MicaR yup it gets better again after S4 "
"positive","to @WebAnime and @tbaggins1, thanks for following me. "
"positive","@rifie Oh, wow, you're fast   How's life going ? It's been 6 months ya ? XD"
"positive","@kasey79 good night "
"positive","@themakelounge I might have guessed a crafty lady like you would have a laminator  Mine is a very cheap one but it worked brilliantly"
"positive","@siovene And Clang rocks, so you're using it, right?  Anyways, according to the comments it's in apple's gcc too, dunno how public tho"
"positive","@chang_ROR Hey dude welcome to twitter  its seexyyyyy"
"positive","@peternomad Thanks! I know. "
